"n","iso3","region_key"
"eu","ESP","enerdata35_eu"
"eu","EST","enerdata35_eu"
"eu","FIN","enerdata35_eu"
"eu","FRA","enerdata35_eu"
"eu","GBR","enerdata35_eu"
"eu","GIB","enerdata35_eu"
"eu","GLP","enerdata35_eu"
"eu","GRC","enerdata35_eu"
"eu","GUF","enerdata35_eu"
"eu","HRV","enerdata35_eu"
"eu","HUN","enerdata35_eu"
"eu","IRL","enerdata35_eu"
"eu","ITA","enerdata35_eu"
"eu","LTU","enerdata35_eu"
"eu","LUX","enerdata35_eu"
"eu","LVA","enerdata35_eu"
"eu","MAF","enerdata35_eu"
"eu","MLT","enerdata35_eu"
"eu","MTQ","enerdata35_eu"
"eu","MYT","enerdata35_eu"
"eu","NLD","enerdata35_eu"
"eu","POL","enerdata35_eu"
"eu","PRT","enerdata35_eu"
"eu","REU","enerdata35_eu"
"eu","ROU","enerdata35_eu"
"eu","SVK","enerdata35_eu"
"eu","SVN","enerdata35_eu"
"eu","SWE","enerdata35_eu"
"golf57","ARE","enerdata35_golf57"
"golf57","BHR","enerdata35_golf57"
"golf57","IRN","enerdata35_golf57"
"golf57","IRQ","enerdata35_golf57"
"golf57","KWT","enerdata35_golf57"
"golf57","OMN","enerdata35_golf57"
"golf57","QAT","enerdata35_golf57"
"golf57","SAU","enerdata35_golf57"
"golf57","YEM","enerdata35_golf57"
"idn","idn","enerdata35_idn"
"jpn","jpn","enerdata35_jpn"
"meme","ISR","enerdata35_meme"
"meme","JOR","enerdata35_meme"
"meme","LBN","enerdata35_meme"
"meme","PSE","enerdata35_meme"
"meme","SYR","enerdata35_meme"
"mex","mex","enerdata35_mex"
"mys","mys","enerdata35_mys"
"nde","IND","enerdata35_nde"
"noan","ESH","enerdata35_noan"
"noan","MAR","enerdata35_noan"
"noan","TUN","enerdata35_noan"
"noap","DZA","enerdata35_noap"
"noap","LBY","enerdata35_noap"
"nor","nor","enerdata35_nor"
"oeu","ALA","enerdata35_oeu"
"oeu","ALB","enerdata35_oeu"
"oeu","AND","enerdata35_oeu"
"oeu","BIH","enerdata35_oeu"
"oeu","FRO","enerdata35_oeu"
"oeu","GGY","enerdata35_oeu"
"oeu","GRL","enerdata35_oeu"
"oeu","IMN","enerdata35_oeu"
"oeu","ISL","enerdata35_oeu"
"oeu","JEY","enerdata35_oeu"
"oeu","KSV","enerdata35_oeu"
"oeu","LIE","enerdata35_oeu"
"oeu","MCO","enerdata35_oeu"
"oeu","MKD","enerdata35_oeu"
"oeu","MNE","enerdata35_oeu"
"oeu","SJM","enerdata35_oeu"
"oeu","SMR","enerdata35_oeu"
"oeu","SPM","enerdata35_oeu"
"oeu","SRB","enerdata35_oeu"
"oeu","VAT","enerdata35_oeu"
"osea","BRN","enerdata35_osea"
"osea","CCK","enerdata35_osea"
"osea","HKG","enerdata35_osea"
"osea","KHM","enerdata35_osea"
"osea","LAO","enerdata35_osea"
"osea","MAC","enerdata35_osea"
"osea","MMR","enerdata35_osea"
"osea","MNG","enerdata35_osea"
"osea","PHL","enerdata35_osea"
"osea","PRK","enerdata35_osea"
"osea","SGP","enerdata35_osea"
"osea","TWN","enerdata35_osea"
"rcam","ABW","enerdata35_rcam"
"rcam","AIA","enerdata35_rcam"
"rcam","ATA","enerdata35_rcam"
"rcam","ATG","enerdata35_rcam"
"rcam","BES","enerdata35_rcam"
"rcam","BHS","enerdata35_rcam"
"rcam","BLM","enerdata35_rcam"
"rcam","BLZ","enerdata35_rcam"
"rcam","BMU","enerdata35_rcam"
"rcam","BRB","enerdata35_rcam"
"rcam","CRI","enerdata35_rcam"
"rcam","CUB","enerdata35_rcam"
"rcam","CUW","enerdata35_rcam"
"rcam","CYM","enerdata35_rcam"
"rcam","DMA","enerdata35_rcam"
"rcam","DOM","enerdata35_rcam"
"rcam","GRD","enerdata35_rcam"
"rcam","GTM","enerdata35_rcam"
"rcam","HND","enerdata35_rcam"
"rcam","HTI","enerdata35_rcam"
"rcam","JAM","enerdata35_rcam"
"rcam","KNA","enerdata35_rcam"
"rcam","LCA","enerdata35_rcam"
"rcam","MSR","enerdata35_rcam"
"rcam","NIC","enerdata35_rcam"
"rcam","PAN","enerdata35_rcam"
"rcam","PRI","enerdata35_rcam"
"rcam","SGS","enerdata35_rcam"
"rcam","SLV","enerdata35_rcam"
"rcam","SXM","enerdata35_rcam"
"rcam","TCA","enerdata35_rcam"
"rcam","TTO","enerdata35_rcam"
"rcam","VCT","enerdata35_rcam"
"rcam","VGB","enerdata35_rcam"
"rcam","VIR","enerdata35_rcam"
"ris","ARM","enerdata35_ris"
"ris","AZE","enerdata35_ris"
"ris","BLR","enerdata35_ris"
"ris","GEO","enerdata35_ris"
"ris","KAZ","enerdata35_ris"
"ris","KGZ","enerdata35_ris"
"ris","MDA","enerdata35_ris"
"ris","TJK","enerdata35_ris"
"ris","TKM","enerdata35_ris"
"ris","UZB","enerdata35_ris"
"rjan57","ASM","enerdata35_rjan57"
"rjan57","COK","enerdata35_rjan57"
"rjan57","CXR","enerdata35_rjan57"
"rjan57","FJI","enerdata35_rjan57"
"rjan57","FSM","enerdata35_rjan57"
"rjan57","GUM","enerdata35_rjan57"
"rjan57","HMD","enerdata35_rjan57"
"rjan57","KIR","enerdata35_rjan57"
"rjan57","MHL","enerdata35_rjan57"
"rjan57","MNP","enerdata35_rjan57"
"rjan57","NCL","enerdata35_rjan57"
"rjan57","NFK","enerdata35_rjan57"
"rjan57","NIU","enerdata35_rjan57"
"rjan57","NRU","enerdata35_rjan57"
"rjan57","NZL","enerdata35_rjan57"
"rjan57","PCN","enerdata35_rjan57"
"rjan57","PLW","enerdata35_rjan57"
"rjan57","PNG","enerdata35_rjan57"
"rjan57","PYF","enerdata35_rjan57"
"rjan57","SLB","enerdata35_rjan57"
"rjan57","TKL","enerdata35_rjan57"
"rjan57","TLS","enerdata35_rjan57"
"rjan57","TON","enerdata35_rjan57"
"rjan57","TUV","enerdata35_rjan57"
"rjan57","UMI","enerdata35_rjan57"
"rjan57","VUT","enerdata35_rjan57"
"rjan57","WLF","enerdata35_rjan57"
"rjan57","WSM","enerdata35_rjan57"
"rsaf","AGO","enerdata35_rsaf"
"rsaf","ATF","enerdata35_rsaf"
"rsaf","BDI","enerdata35_rsaf"
"rsaf","BEN","enerdata35_rsaf"
"rsaf","BFA","enerdata35_rsaf"
"rsaf","BVT","enerdata35_rsaf"
"rsaf","BWA","enerdata35_rsaf"
"rsaf","CAF","enerdata35_rsaf"
"rsaf","CIV","enerdata35_rsaf"
"rsaf","CMR","enerdata35_rsaf"
"rsaf","COD","enerdata35_rsaf"
"rsaf","COG","enerdata35_rsaf"
"rsaf","COM","enerdata35_rsaf"
"rsaf","CPV","enerdata35_rsaf"
"rsaf","DJI","enerdata35_rsaf"
"rsaf","ERI","enerdata35_rsaf"
"rsaf","ETH","enerdata35_rsaf"
"rsaf","GAB","enerdata35_rsaf"
"rsaf","GHA","enerdata35_rsaf"
"rsaf","GIN","enerdata35_rsaf"
"rsaf","GMB","enerdata35_rsaf"
"rsaf","GNB","enerdata35_rsaf"
"rsaf","GNQ","enerdata35_rsaf"
"rsaf","IOT","enerdata35_rsaf"
"rsaf","KEN","enerdata35_rsaf"
"rsaf","LBR","enerdata35_rsaf"
"rsaf","LSO","enerdata35_rsaf"
"rsaf","MDG","enerdata35_rsaf"
"rsaf","MLI","enerdata35_rsaf"
"rsaf","MOZ","enerdata35_rsaf"
"rsaf","MRT","enerdata35_rsaf"
"rsaf","MUS","enerdata35_rsaf"
"rsaf","MWI","enerdata35_rsaf"
"rsaf","NAM","enerdata35_rsaf"
"rsaf","NER","enerdata35_rsaf"
"rsaf","NGA","enerdata35_rsaf"
"rsaf","RWA","enerdata35_rsaf"
"rsaf","SDN","enerdata35_rsaf"
"rsaf","SEN","enerdata35_rsaf"
"rsaf","SHN","enerdata35_rsaf"
"rsaf","SLE","enerdata35_rsaf"
"rsaf","SOM","enerdata35_rsaf"
"rsaf","SSD","enerdata35_rsaf"
"rsaf","STP","enerdata35_rsaf"
"rsaf","SWZ","enerdata35_rsaf"
"rsaf","SYC","enerdata35_rsaf"
"rsaf","TCD","enerdata35_rsaf"
"rsaf","TGO","enerdata35_rsaf"
"rsaf","TZA","enerdata35_rsaf"
"rsaf","UGA","enerdata35_rsaf"
"rsaf","ZMB","enerdata35_rsaf"
"rsaf","ZWE","enerdata35_rsaf"
"rsam","BOL","enerdata35_rsam"
"rsam","COL","enerdata35_rsam"
"rsam","ECU","enerdata35_rsam"
"rsam","FLK","enerdata35_rsam"
"rsam","GUY","enerdata35_rsam"
"rsam","PER","enerdata35_rsam"
"rsam","PRY","enerdata35_rsam"
"rsam","SUR","enerdata35_rsam"
"rsam","URY","enerdata35_rsam"
"rsam","VEN","enerdata35_rsam"
"rsas","AFG","enerdata35_rsas"
"rsas","BGD","enerdata35_rsas"
"rsas","BTN","enerdata35_rsas"
"rsas","LKA","enerdata35_rsas"
"rsas","MDV","enerdata35_rsas"
"rsas","NPL","enerdata35_rsas"
"rsas","PAK","enerdata35_rsas"
"rus","rus","enerdata35_rus"
"sui","CHE","enerdata35_sui"
"tha","tha","enerdata35_tha"
"tur","tur","enerdata35_tur"
"ukr","ukr","enerdata35_ukr"
"usa","usa","enerdata35_usa"
"vnm","vnm","enerdata35_vnm"
"zaf","zaf","enerdata35_zaf"
"brazil","BRA","witch17_brazil"
"canada","CAN","witch17_canada"
"canada","SPM","witch17_canada"
"china","CHN","witch17_china"
"china","HKG","witch17_china"
"china","MAC","witch17_china"
"china","TWN","witch17_china"
"europe","ALA","witch17_europe"
"europe","ALB","witch17_europe"
"europe","AND","witch17_europe"
"europe","AUT","witch17_europe"
"europe","BEL","witch17_europe"
"europe","BGR","witch17_europe"
"europe","BIH","witch17_europe"
"europe","CHE","witch17_europe"
"europe","CYP","witch17_europe"
"europe","CZE","witch17_europe"
"europe","DEU","witch17_europe"
"europe","DNK","witch17_europe"
"europe","ESP","witch17_europe"
"europe","EST","witch17_europe"
"europe","FIN","witch17_europe"
"europe","FRA","witch17_europe"
"europe","FRO","witch17_europe"
"europe","GBR","witch17_europe"
"europe","GGY","witch17_europe"
"europe","GIB","witch17_europe"
"europe","GRC","witch17_europe"
"europe","GRL","witch17_europe"
"europe","HRV","witch17_europe"
"europe","HUN","witch17_europe"
"europe","IMN","witch17_europe"
"europe","IRL","witch17_europe"
"europe","ISL","witch17_europe"
"europe","ITA","witch17_europe"
"europe","JEY","witch17_europe"
"europe","KSV","witch17_europe"
"europe","LIE","witch17_europe"
"europe","LTU","witch17_europe"
"europe","LUX","witch17_europe"
"europe","LVA","witch17_europe"
"europe","MCO","witch17_europe"
"europe","MKD","witch17_europe"
"europe","MLT","witch17_europe"
"europe","MNE","witch17_europe"
"europe","NLD","witch17_europe"
"europe","NOR","witch17_europe"
"europe","POL","witch17_europe"
"europe","PRT","witch17_europe"
"europe","ROU","witch17_europe"
"europe","SJM","witch17_europe"
"europe","SMR","witch17_europe"
"europe","SRB","witch17_europe"
"europe","SVK","witch17_europe"
"europe","SVN","witch17_europe"
"europe","SWE","witch17_europe"
"europe","VAT","witch17_europe"
"india","IND","witch17_india"
"indonesia","IDN","witch17_indonesia"
"jpnkor","JPN","witch17_jpnkor"
"jpnkor","KOR","witch17_jpnkor"
"jpnkor","PRK","witch17_jpnkor"
"laca","ABW","witch17_laca"
"laca","AIA","witch17_laca"
"laca","ARG","witch17_laca"
"laca","ATA","witch17_laca"
"laca","ATG","witch17_laca"
"laca","BES","witch17_laca"
"laca","BHS","witch17_laca"
"laca","BLM","witch17_laca"
"laca","BLZ","witch17_laca"
"laca","BMU","witch17_laca"
"laca","BOL","witch17_laca"
"laca","BRB","witch17_laca"
"laca","CHL","witch17_laca"
"laca","COL","witch17_laca"
"laca","CRI","witch17_laca"
"laca","CUB","witch17_laca"
"laca","CUW","witch17_laca"
"laca","CYM","witch17_laca"
"laca","DMA","witch17_laca"
"laca","DOM","witch17_laca"
"laca","ECU","witch17_laca"
"laca","FLK","witch17_laca"
"laca","GLP","witch17_laca"
"laca","GRD","witch17_laca"
"laca","GTM","witch17_laca"
"laca","GUF","witch17_laca"
"laca","GUY","witch17_laca"
"laca","HND","witch17_laca"
"laca","HTI","witch17_laca"
"laca","JAM","witch17_laca"
"laca","KNA","witch17_laca"
"laca","LCA","witch17_laca"
"laca","MAF","witch17_laca"
"laca","MSR","witch17_laca"
"laca","MTQ","witch17_laca"
"laca","NIC","witch17_laca"
"laca","PAN","witch17_laca"
"laca","PER","witch17_laca"
"laca","PRI","witch17_laca"
"laca","PRY","witch17_laca"
"laca","SGS","witch17_laca"
"laca","SLV","witch17_laca"
"laca","SUR","witch17_laca"
"laca","SXM","witch17_laca"
"laca","TCA","witch17_laca"
"laca","TTO","witch17_laca"
"laca","URY","witch17_laca"
"laca","VCT","witch17_laca"
"laca","VEN","witch17_laca"
"laca","VGB","witch17_laca"
"laca","VIR","witch17_laca"
"mena","ARE","witch17_mena"
"mena","BHR","witch17_mena"
"mena","DZA","witch17_mena"
"mena","EGY","witch17_mena"
"mena","ESH","witch17_mena"
"mena","IRN","witch17_mena"
"mena","IRQ","witch17_mena"
"mena","ISR","witch17_mena"
"mena","JOR","witch17_mena"
"mena","KWT","witch17_mena"
"mena","LBN","witch17_mena"
"mena","LBY","witch17_mena"
"mena","MAR","witch17_mena"
"mena","OMN","witch17_mena"
"mena","PSE","witch17_mena"
"mena","QAT","witch17_mena"
"mena","SAU","witch17_mena"
"mena","SYR","witch17_mena"
"mena","TUN","witch17_mena"
"mena","YEM","witch17_mena"
"mexico","MEX","witch17_mexico"
"oceania","ASM","witch17_oceania"
"oceania","AUS","witch17_oceania"
"oceania","COK","witch17_oceania"
"oceania","CXR","witch17_oceania"
"oceania","FJI","witch17_oceania"
"oceania","FSM","witch17_oceania"
"oceania","GUM","witch17_oceania"
"oceania","HMD","witch17_oceania"
"oceania","KIR","witch17_oceania"
"oceania","MHL","witch17_oceania"
"oceania","MNP","witch17_oceania"
"oceania","NCL","witch17_oceania"
"oceania","NFK","witch17_oceania"
"oceania","NIU","witch17_oceania"
"oceania","NRU","witch17_oceania"
"oceania","NZL","witch17_oceania"
"oceania","PCN","witch17_oceania"
"oceania","PLW","witch17_oceania"
"oceania","PNG","witch17_oceania"
"oceania","PYF","witch17_oceania"
"oceania","SLB","witch17_oceania"
"oceania","TKL","witch17_oceania"
"oceania","TLS","witch17_oceania"
"oceania","TON","witch17_oceania"
"oceania","TUV","witch17_oceania"
"oceania","UMI","witch17_oceania"
"oceania","VUT","witch17_oceania"
"oceania","WLF","witch17_oceania"
"oceania","WSM","witch17_oceania"
"sasia","AFG","witch17_sasia"
"sasia","BGD","witch17_sasia"
"sasia","BTN","witch17_sasia"
"sasia","LKA","witch17_sasia"
"sasia","MDV","witch17_sasia"
"sasia","NPL","witch17_sasia"
"sasia","PAK","witch17_sasia"
"seasia","BRN","witch17_seasia"
"seasia","CCK","witch17_seasia"
"seasia","KHM","witch17_seasia"
"seasia","LAO","witch17_seasia"
"seasia","MMR","witch17_seasia"
"seasia","MYS","witch17_seasia"
"seasia","PHL","witch17_seasia"
"seasia","SGP","witch17_seasia"
"seasia","THA","witch17_seasia"
"seasia","VNM","witch17_seasia"
"southafrica","ZAF","witch17_southafrica"
"ssa","AGO","witch17_ssa"
"ssa","ATF","witch17_ssa"
"ssa","BDI","witch17_ssa"
"ssa","BEN","witch17_ssa"
"ssa","BFA","witch17_ssa"
"ssa","BVT","witch17_ssa"
"ssa","BWA","witch17_ssa"
"ssa","CAF","witch17_ssa"
"ssa","CIV","witch17_ssa"
"ssa","CMR","witch17_ssa"
"ssa","COD","witch17_ssa"
"ssa","COG","witch17_ssa"
"ssa","COM","witch17_ssa"
"ssa","CPV","witch17_ssa"
"ssa","DJI","witch17_ssa"
"ssa","ERI","witch17_ssa"
"ssa","ETH","witch17_ssa"
"ssa","GAB","witch17_ssa"
"ssa","GHA","witch17_ssa"
"ssa","GIN","witch17_ssa"
"ssa","GMB","witch17_ssa"
"ssa","GNB","witch17_ssa"
"ssa","GNQ","witch17_ssa"
"ssa","IOT","witch17_ssa"
"ssa","KEN","witch17_ssa"
"ssa","LBR","witch17_ssa"
"ssa","LSO","witch17_ssa"
"ssa","MDG","witch17_ssa"
"ssa","MLI","witch17_ssa"
"ssa","MOZ","witch17_ssa"
"ssa","MRT","witch17_ssa"
"ssa","MUS","witch17_ssa"
"ssa","MWI","witch17_ssa"
"ssa","MYT","witch17_ssa"
"ssa","NAM","witch17_ssa"
"ssa","NER","witch17_ssa"
"ssa","NGA","witch17_ssa"
"ssa","REU","witch17_ssa"
"ssa","RWA","witch17_ssa"
"ssa","SDN","witch17_ssa"
"ssa","SEN","witch17_ssa"
"ssa","SHN","witch17_ssa"
"ssa","SLE","witch17_ssa"
"ssa","SOM","witch17_ssa"
"ssa","SSD","witch17_ssa"
"ssa","STP","witch17_ssa"
"ssa","SWZ","witch17_ssa"
"ssa","SYC","witch17_ssa"
