"t";"n";"year";"MIU";"ABATECOST";"ABATECOST_ED";"ABATECOST_PB";"ABATEEMI";"C";"DAMAGES";"DAMFRAC";"E";"EIND";"I";"K";"S";"Y";"YGROSS";"L";"scc";"photel";"exp_id";"reg_n_id"
1;"nde";2015;0;0;0;0;0;1,0078799415245;0,278074201;0,166666666666667;2,27661403508772;2,231;0,3824910634755;2,73932571962924;0,2751;1,390371005;1,668445206;1307,933;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_nde"
1;"nld";2015;0;0;0;0;0;0,444217207049128;0,122559582576667;0,166666666666667;0,205694035087719;0,16008;0,168580705834205;1,88875075455549;0,2751;0,612797912883333;0,73535749546;16,937;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_nld"
1;"noan";2015;0;0;0;0;0;0,0877932861786383;0,0242221785566667;0,166666666666667;0,138124035087719;0,09251;0,033317606604695;0,261502279956546;0,2751;0,121110892783333;0,14533307134;44,353;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_noan"
1;"noap";2015;0;0;0;0;0;0,126308330729185;0,03484848413;0,166666666666667;0,240744035087719;0,19513;0,047934089920815;0,394059719386073;0,2751;0,17424242065;0,20909090478;44,99;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_noap"
1;"nor";2015;0;0;0;0;0;0,214751381053027;0,059249932695;0,166666666666667;0,0934740350877193;0,04786;0,0814982824219725;0,900350646218131;0,2751;0,296249663475;0,35549959617;5,152;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_nor"
1;"oeu";2015;0;0;0;0;0;0,0958285077228692;0,0264390971783333;0,166666666666667;0,148534868887719;0,1029208338;0,0363669781687975;0,375080238442599;0,2751;0,132195485891667;0,15863458307;21,999;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_oeu"
1;"osea";2015;0;0;0;0;0;0,746086880277677;0,205845462899069;0,166666666666667;0,675003035087719;0,629389;0,28314043421767;2,25751675673332;0,2751;1,02922731449535;1,23507277739442;212,383;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_osea"
1;"pol";2015;0;0;0;0;0;0,26802190512405;0,0739472769000001;0,166666666666667;0,349714035087719;0,3041;0,10171447937595;0,921818077557922;0,2751;0,3697363845;0,4436836614;38,395;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_pol"
1;"prt";2015;0;0;0;0;0;0,118348308166458;0,0326523129166667;0,166666666666667;0,0956940350877193;0,05008;0,044913256416875;0,551025974083921;0,2751;0,163261564583333;0,1959138775;10,805;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_prt"
1;"rcam";2015;0;0;0;0;0;0,245581237905694;0,0677558940283333;0,166666666666667;0,244795297087719;0,199181262;0,0931982322359725;0,856185131902851;0,2751;0,338779470141667;0,40653536417;86,968;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_rcam"
1;"rcz";2015;0;0;0;0;0;0,098726744518215;0,02723872107;0,166666666666667;0,151564035087719;0,10595;0,037466860831785;0,369333963495726;0,2751;0,13619360535;0,16343232642;10,76;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_rcz"
1;"rfa";2015;0;0;0;0;0;1,95010303087417;0,538033668333333;0,166666666666667;0,799014035087719;0,7534;0,7400653107925;8,04703823546269;0,2751;2,69016834166667;3,22820201;82,124;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_rfa"
1;"ris";2015;0;0;0;0;0;0,176090399139133;0,0485833629849999;0,166666666666666;0,552919035087719;0,507305;0,0668264157858675;0,494923832088202;0,2751;0,242916814925;0,29150017791;93,757;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_ris"
1;"rjan57";2015;0;0;0;0;0;0,0965613636272267;0,0266412922133333;0,166666666666667;0,0881719350877193;0,0425579;0,03664509743944;0,391898745636856;0,2751;0,133206461066667;0,15984775328;16,039;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_rjan57"
1;"rom";2015;0;0;0;0;0;0,075524604179915;0,02083724767;0,166666666666667;0,119614035087719;0,074;0,028661634170085;0,295351263615014;0,2751;0,10418623835;0,12502348602;21,137;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_rom"
1;"rsaf";2015;0;0;0;0;0;0,437162475742667;0,120613181333333;0,166666666666667;0,375384225087719;0,32977019;0,165903430924;1,24959480456708;0,2751;0,603065906666667;0,723679088;909,821;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_rsaf"
1;"rsam";2015;0;0;0;0;0;0,424130843199268;0,117017752296667;0,166666666666667;0,493739635087719;0,4481256;0,160957918284065;1,41002581432317;0,2751;0,585088761483333;0,70210651378;148,643;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_rsam"
1;"rsas";2015;0;0;0;0;0;0,210226233022896;0,0580014437916667;0,166666666666667;0,329359335087719;0,2837453;0,0797809859354375;0,638092339903042;0,2751;0,290007218958333;0,34800866275;438,794;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_rsas"
1;"rsl";2015;0;0;0;0;0;0,04269636585368;0,01177993264;0,166666666666667;0,0787740350877193;0,03316;0,01620329734632;0,149858142404448;0,2751;0,0588996632;0,07067959584;5,539;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_rsl"
1;"rus";2015;0;0;0;0;0;0,666115616280217;0,183781381233333;0,166666666666667;1,73961403508772;1,694;0,25279128988645;2,21658115560754;0,2751;0,918906906166667;1,1026882874;142,671;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_rus"
1;"slo";2015;0;0;0;0;0;0,0254282153665283;0,00701564777666667;0,166666666666667;0,0619800350877193;0,016366;0,009650023516805;0,100195991634019;0,2751;0,0350782388833333;0,04209388666;2,065;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_slo"
1;"sui";2015;0;0;0;0;0;0,272680512125175;0,07523258715;0,166666666666667;0,0837540350877193;0,03814;0,103482423624825;1,15237689332168;0,2751;0,37616293575;0,4513955229;7,9;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_sui"
1;"swe";2015;0;0;0;0;0;0,276064628308013;0,076166265225;0,166666666666667;0,0915440350877193;0,04593;0,104766697816988;1,0919907249429;0,2751;0,380831326125;0,45699759135;9,776;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_swe"
1;"tha";2015;0;0;0;0;0;0,15581765862432;0,04299011136;0,166666666666667;0,362814035087719;0,3172;0,05913289817568;0,499806886929178;0,2751;0,2149505568;0,25794066816;71,114;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_tha"
1;"tur";2015;0;0;0;0;0;0,427689038728682;0,117999458885;0,166666666666667;0,441414035087719;0,3958;0,162308255696317;1,3468829416782;0,2751;0,589997294425;0,70799675331;77,042;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_tur"
1;"ukr";2015;0;0;0;0;0;0,0655890200439467;0,0180960187733333;0,166666666666667;0,335914035087719;0,2903;0,02489107382272;0,229729071390941;0,2751;0,0904800938666667;0,10857611264;44,123;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_ukr"
1;"usa";2015;0;0;0;0;0;8,9131348075;2,459135;0,166666666666667;5,28161403508772;5,236;3,3825401925;35,7149818604044;0,2751;12,295675;14,75481;322,835;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_usa"
1;"vnm";2015;0;0;0;0;0;0,06003674304507;0,01656414486;0,166666666666667;0,213914035087719;0,1683;0,02278398125493;0,165504519830818;0,2751;0,0828207243;0,09938486916;92,375;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_vnm"
1;"zaf";2015;0;0;0;0;0;0,210054097127178;0,0579539514766666;0,166666666666667;0,525914035087719;0,4803;0,079715660256155;0,799825312923268;0,2751;0,289769757383333;0,34772370886;52,493;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_zaf"
10;"arg";2060;0;0;0;0;0;0,559215896010336;0,154287735138732;0,166666666666667;0,223299401464282;0,208108346728251;0,212222779683326;2,08987017295092;0,2751;0,771438675693662;0,925726410832394;49,834;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_arg"
10;"aus";2060;0;0;0;0;0;1,49665556266656;0,412927455557059;0,166666666666667;0,407683701311897;0,392492646575866;0,567981715118735;5,68557456778789;0,2751;2,0646372777853;2,47756473334235;38,929;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_aus"
10;"aut";2060;0;0;0;0;0;0,391210291941908;0,107934968117508;0,166666666666667;0,0655226649116198;0,0503316101755891;0,148464548645632;1,5636470210732;0,2751;0,53967484058754;0,647609808705048;9,214;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_aut"
10;"bel";2060;0;0;0;0;0;0,537836270616401;0,148389093838157;0,166666666666667;0,154669514257341;0,13947845952131;0,204109198574385;2,07090586259221;0,2751;0,741945469190787;0,890334563028944;12,885;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_bel"
